05-Feb-26 14:00:23 - Created loss log file ./logs/loss_log_20260205140023_.npy.npz
05-Feb-26 14:00:33 - Estimated training samples: 26786650
05-Feb-26 14:00:33 - Total training steps per epoch (estimated): 83708
05-Feb-26 14:00:34 - Loading weights from: weights/model_weights20260204165247.pth
05-Feb-26 14:00:34 - Weights loaded successfully. Resuming training.
05-Feb-26 14:00:34 - Running without torch.compile (more stable for training).
05-Feb-26 14:00:34 - Training model...
05-Feb-26 14:00:40 - Features shape: torch.Size([320, 4])
05-Feb-26 14:00:40 - Elevation shape: torch.Size([320, 750])
05-Feb-26 14:00:40 - Targets shape: torch.Size([320])
05-Feb-26 14:00:40 - Mask shape: torch.Size([320, 750])
05-Feb-26 14:00:40 - Preds shape: torch.Size([320])
05-Feb-26 14:00:42 - [Epoch=1 | Step=10/83708 | Samples=3200] loss=4.5720
05-Feb-26 14:06:59 - ---------Epoch 01 | Training samples: 201600 | Average Loss: 9.0219
05-Feb-26 14:07:01 - [Epoch=1 | Step=640/83708 | Samples=204800] loss=10.4325
05-Feb-26 14:07:01 - ---------Epoch 01 | Training samples: 204800 | Average Loss: 8.9814
05-Feb-26 14:07:03 - [Epoch=1 | Step=650/83708 | Samples=208000] loss=2.5221
05-Feb-26 14:07:03 - ---------Epoch 01 | Training samples: 208000 | Average Loss: 8.9329
05-Feb-26 14:07:05 - [Epoch=1 | Step=660/83708 | Samples=211200] loss=10.1511
05-Feb-26 14:07:05 - ---------Epoch 01 | Training samples: 211200 | Average Loss: 8.8965
05-Feb-26 14:07:08 - [Epoch=1 | Step=670/83708 | Samples=214400] loss=3.0994
05-Feb-26 14:07:08 - ---------Epoch 01 | Training samples: 214400 | Average Loss: 8.8557
05-Feb-26 14:07:11 - [Epoch=1 | Step=680/83708 | Samples=217600] loss=9.8197
05-Feb-26 14:07:11 - ---------Epoch 01 | Training samples: 217600 | Average Loss: 8.8193
05-Feb-26 14:07:13 - [Epoch=1 | Step=690/83708 | Samples=220800] loss=2.3195
05-Feb-26 14:07:13 - ---------Epoch 01 | Training samples: 220800 | Average Loss: 8.7747
05-Feb-26 14:07:15 - [Epoch=1 | Step=700/83708 | Samples=224000] loss=8.2671
05-Feb-26 14:07:15 - ---------Epoch 01 | Training samples: 224000 | Average Loss: 8.7417
05-Feb-26 14:07:17 - [Epoch=1 | Step=710/83708 | Samples=227200] loss=3.5342
05-Feb-26 14:07:17 - ---------Epoch 01 | Training samples: 227200 | Average Loss: 8.7013
05-Feb-26 14:07:21 - [Epoch=1 | Step=720/83708 | Samples=230400] loss=9.8314
05-Feb-26 14:07:21 - ---------Epoch 01 | Training samples: 230400 | Average Loss: 8.6697
05-Feb-26 14:07:23 - [Epoch=1 | Step=730/83708 | Samples=233600] loss=2.7572
05-Feb-26 14:07:23 - ---------Epoch 01 | Training samples: 233600 | Average Loss: 8.6272
05-Feb-26 14:07:25 - [Epoch=1 | Step=740/83708 | Samples=236800] loss=10.5730
05-Feb-26 14:07:25 - ---------Epoch 01 | Training samples: 236800 | Average Loss: 8.5934
05-Feb-26 14:07:27 - [Epoch=1 | Step=750/83708 | Samples=240000] loss=5.2341
05-Feb-26 14:07:27 - ---------Epoch 01 | Training samples: 240000 | Average Loss: 8.5574
05-Feb-26 14:07:29 - [Epoch=1 | Step=760/83708 | Samples=243200] loss=9.5529
05-Feb-26 14:07:29 - ---------Epoch 01 | Training samples: 243200 | Average Loss: 8.5305
05-Feb-26 14:07:32 - [Epoch=1 | Step=770/83708 | Samples=246400] loss=7.4731
05-Feb-26 14:07:32 - ---------Epoch 01 | Training samples: 246400 | Average Loss: 8.4986
05-Feb-26 14:07:34 - [Epoch=1 | Step=780/83708 | Samples=249600] loss=9.8979
05-Feb-26 14:07:34 - ---------Epoch 01 | Training samples: 249600 | Average Loss: 8.4678
05-Feb-26 14:07:36 - [Epoch=1 | Step=790/83708 | Samples=252800] loss=3.0529
05-Feb-26 14:07:36 - ---------Epoch 01 | Training samples: 252800 | Average Loss: 8.4205
05-Feb-26 14:07:38 - [Epoch=1 | Step=800/83708 | Samples=256000] loss=9.1696
05-Feb-26 14:07:38 - ---------Epoch 01 | Training samples: 256000 | Average Loss: 8.3794
05-Feb-26 14:07:40 - [Epoch=1 | Step=810/83708 | Samples=259200] loss=2.2048
05-Feb-26 14:07:40 - ---------Epoch 01 | Training samples: 259200 | Average Loss: 8.3312
05-Feb-26 14:07:42 - [Epoch=1 | Step=820/83708 | Samples=262400] loss=8.5041
05-Feb-26 14:07:42 - ---------Epoch 01 | Training samples: 262400 | Average Loss: 8.2891
05-Feb-26 14:07:44 - [Epoch=1 | Step=830/83708 | Samples=265600] loss=1.9941
05-Feb-26 14:07:44 - ---------Epoch 01 | Training samples: 265600 | Average Loss: 8.2434
05-Feb-26 14:07:46 - [Epoch=1 | Step=840/83708 | Samples=268800] loss=8.6687
05-Feb-26 14:07:46 - ---------Epoch 01 | Training samples: 268800 | Average Loss: 8.2113
05-Feb-26 14:07:48 - [Epoch=1 | Step=850/83708 | Samples=272000] loss=1.8708
05-Feb-26 14:07:48 - ---------Epoch 01 | Training samples: 272000 | Average Loss: 8.1681
05-Feb-26 14:07:51 - [Epoch=1 | Step=860/83708 | Samples=275200] loss=8.9215
05-Feb-26 14:07:51 - ---------Epoch 01 | Training samples: 275200 | Average Loss: 8.1383
05-Feb-26 14:07:53 - [Epoch=1 | Step=870/83708 | Samples=278400] loss=1.5204
05-Feb-26 14:07:53 - ---------Epoch 01 | Training samples: 278400 | Average Loss: 8.1008
05-Feb-26 14:07:55 - [Epoch=1 | Step=880/83708 | Samples=281600] loss=9.7494
05-Feb-26 14:07:55 - ---------Epoch 01 | Training samples: 281600 | Average Loss: 8.0736
05-Feb-26 14:07:59 - [Epoch=1 | Step=890/83708 | Samples=284800] loss=2.1781
05-Feb-26 14:07:59 - ---------Epoch 01 | Training samples: 284800 | Average Loss: 8.0398
05-Feb-26 14:08:01 - [Epoch=1 | Step=900/83708 | Samples=288000] loss=8.8553
05-Feb-26 14:08:01 - ---------Epoch 01 | Training samples: 288000 | Average Loss: 8.0178
05-Feb-26 14:08:03 - [Epoch=1 | Step=910/83708 | Samples=291200] loss=2.1458
05-Feb-26 14:08:03 - ---------Epoch 01 | Training samples: 291200 | Average Loss: 7.9914
05-Feb-26 14:08:06 - [Epoch=1 | Step=920/83708 | Samples=294400] loss=7.7224
05-Feb-26 14:08:06 - ---------Epoch 01 | Training samples: 294400 | Average Loss: 7.9719
05-Feb-26 14:08:08 - [Epoch=1 | Step=930/83708 | Samples=297600] loss=1.6914
05-Feb-26 14:08:08 - ---------Epoch 01 | Training samples: 297600 | Average Loss: 7.9410
05-Feb-26 14:08:10 - [Epoch=1 | Step=940/83708 | Samples=300800] loss=7.2918
05-Feb-26 14:08:10 - ---------Epoch 01 | Training samples: 300800 | Average Loss: 7.9176
05-Feb-26 14:08:12 - [Epoch=1 | Step=950/83708 | Samples=304000] loss=2.0838
05-Feb-26 14:08:12 - ---------Epoch 01 | Training samples: 304000 | Average Loss: 7.8892
05-Feb-26 14:08:14 - [Epoch=1 | Step=960/83708 | Samples=307200] loss=7.6284
05-Feb-26 14:08:14 - ---------Epoch 01 | Training samples: 307200 | Average Loss: 7.8659
05-Feb-26 14:08:16 - [Epoch=1 | Step=970/83708 | Samples=310400] loss=2.0966
05-Feb-26 14:08:16 - ---------Epoch 01 | Training samples: 310400 | Average Loss: 7.8364
05-Feb-26 14:08:19 - [Epoch=1 | Step=980/83708 | Samples=313600] loss=7.0256
05-Feb-26 14:08:19 - ---------Epoch 01 | Training samples: 313600 | Average Loss: 7.8148
05-Feb-26 14:08:21 - [Epoch=1 | Step=990/83708 | Samples=316800] loss=2.5179
05-Feb-26 14:08:21 - ---------Epoch 01 | Training samples: 316800 | Average Loss: 7.7847
05-Feb-26 14:08:23 - [Epoch=1 | Step=1000/83708 | Samples=320000] loss=5.8020
05-Feb-26 14:08:23 - ---------Epoch 01 | Training samples: 320000 | Average Loss: 7.7575
05-Feb-26 14:11:53 - ---------Validation | Average Validation: 8.2469
05-Feb-26 14:11:53 - ---------Validation | Overestimation (>3dB): 589
05-Feb-26 14:11:53 - ---------Validation | Underestimation (<-3dB): 424
05-Feb-26 14:11:55 - [Epoch=1 | Step=1010/83708 | Samples=323200] loss=2.0229
05-Feb-26 14:11:55 - ---------Epoch 01 | Training samples: 323200 | Average Loss: 7.7246
05-Feb-26 14:11:57 - [Epoch=1 | Step=1020/83708 | Samples=326400] loss=9.8648
05-Feb-26 14:11:57 - ---------Epoch 01 | Training samples: 326400 | Average Loss: 7.6978
05-Feb-26 14:11:59 - [Epoch=1 | Step=1030/83708 | Samples=329600] loss=2.5371
05-Feb-26 14:11:59 - ---------Epoch 01 | Training samples: 329600 | Average Loss: 7.6681
05-Feb-26 14:12:02 - [Epoch=1 | Step=1040/83708 | Samples=332800] loss=7.6418
05-Feb-26 14:12:02 - ---------Epoch 01 | Training samples: 332800 | Average Loss: 7.6448
05-Feb-26 14:12:04 - [Epoch=1 | Step=1050/83708 | Samples=336000] loss=1.8510
05-Feb-26 14:12:04 - ---------Epoch 01 | Training samples: 336000 | Average Loss: 7.6168
05-Feb-26 14:12:06 - [Epoch=1 | Step=1060/83708 | Samples=339200] loss=7.7135
05-Feb-26 14:12:06 - ---------Epoch 01 | Training samples: 339200 | Average Loss: 7.5943
05-Feb-26 14:12:08 - [Epoch=1 | Step=1070/83708 | Samples=342400] loss=2.1664
05-Feb-26 14:12:08 - ---------Epoch 01 | Training samples: 342400 | Average Loss: 7.5680
05-Feb-26 14:12:10 - [Epoch=1 | Step=1080/83708 | Samples=345600] loss=7.3926
05-Feb-26 14:12:10 - ---------Epoch 01 | Training samples: 345600 | Average Loss: 7.5434
05-Feb-26 14:12:12 - [Epoch=1 | Step=1090/83708 | Samples=348800] loss=1.8899
05-Feb-26 14:12:12 - ---------Epoch 01 | Training samples: 348800 | Average Loss: 7.5131
05-Feb-26 14:12:14 - [Epoch=1 | Step=1100/83708 | Samples=352000] loss=8.6273
05-Feb-26 14:12:14 - ---------Epoch 01 | Training samples: 352000 | Average Loss: 7.4859
05-Feb-26 14:12:16 - [Epoch=1 | Step=1110/83708 | Samples=355200] loss=2.6243
05-Feb-26 14:12:16 - ---------Epoch 01 | Training samples: 355200 | Average Loss: 7.4560
05-Feb-26 14:12:19 - [Epoch=1 | Step=1120/83708 | Samples=358400] loss=9.4331
05-Feb-26 14:12:19 - ---------Epoch 01 | Training samples: 358400 | Average Loss: 7.4360
05-Feb-26 14:12:21 - [Epoch=1 | Step=1130/83708 | Samples=361600] loss=2.6814
05-Feb-26 14:12:21 - ---------Epoch 01 | Training samples: 361600 | Average Loss: 7.4105
05-Feb-26 14:12:23 - [Epoch=1 | Step=1140/83708 | Samples=364800] loss=9.7284
05-Feb-26 14:12:23 - ---------Epoch 01 | Training samples: 364800 | Average Loss: 7.3918
05-Feb-26 14:12:25 - [Epoch=1 | Step=1150/83708 | Samples=368000] loss=1.9174
05-Feb-26 14:12:25 - ---------Epoch 01 | Training samples: 368000 | Average Loss: 7.3664
05-Feb-26 14:12:27 - [Epoch=1 | Step=1160/83708 | Samples=371200] loss=10.2450
05-Feb-26 14:12:27 - ---------Epoch 01 | Training samples: 371200 | Average Loss: 7.3466
05-Feb-26 14:12:31 - [Epoch=1 | Step=1170/83708 | Samples=374400] loss=1.7313
05-Feb-26 14:12:31 - ---------Epoch 01 | Training samples: 374400 | Average Loss: 7.3180
05-Feb-26 14:12:33 - [Epoch=1 | Step=1180/83708 | Samples=377600] loss=7.7616
05-Feb-26 14:12:33 - ---------Epoch 01 | Training samples: 377600 | Average Loss: 7.2984
05-Feb-26 14:12:35 - [Epoch=1 | Step=1190/83708 | Samples=380800] loss=1.6083
05-Feb-26 14:12:35 - ---------Epoch 01 | Training samples: 380800 | Average Loss: 7.2715
05-Feb-26 14:12:38 - [Epoch=1 | Step=1200/83708 | Samples=384000] loss=10.3457
05-Feb-26 14:12:38 - ---------Epoch 01 | Training samples: 384000 | Average Loss: 7.2500
05-Feb-26 14:12:40 - [Epoch=1 | Step=1210/83708 | Samples=387200] loss=1.6816
05-Feb-26 14:12:40 - ---------Epoch 01 | Training samples: 387200 | Average Loss: 7.2242
05-Feb-26 14:12:42 - [Epoch=1 | Step=1220/83708 | Samples=390400] loss=7.6267
05-Feb-26 14:12:42 - ---------Epoch 01 | Training samples: 390400 | Average Loss: 7.1992
05-Feb-26 14:12:44 - [Epoch=1 | Step=1230/83708 | Samples=393600] loss=1.5231
05-Feb-26 14:12:44 - ---------Epoch 01 | Training samples: 393600 | Average Loss: 7.1687
05-Feb-26 14:12:46 - [Epoch=1 | Step=1240/83708 | Samples=396800] loss=7.6531
05-Feb-26 14:12:46 - ---------Epoch 01 | Training samples: 396800 | Average Loss: 7.1445
05-Feb-26 14:12:48 - [Epoch=1 | Step=1250/83708 | Samples=400000] loss=1.5789
05-Feb-26 14:12:49 - ---------Epoch 01 | Training samples: 400000 | Average Loss: 7.1179
05-Feb-26 14:12:51 - [Epoch=1 | Step=1260/83708 | Samples=403200] loss=7.2919
05-Feb-26 14:12:51 - ---------Epoch 01 | Training samples: 403200 | Average Loss: 7.0934
05-Feb-26 14:12:53 - [Epoch=1 | Step=1270/83708 | Samples=406400] loss=1.6743
05-Feb-26 14:12:53 - ---------Epoch 01 | Training samples: 406400 | Average Loss: 7.0638
05-Feb-26 14:12:55 - [Epoch=1 | Step=1280/83708 | Samples=409600] loss=6.5429
05-Feb-26 14:12:56 - ---------Epoch 01 | Training samples: 409600 | Average Loss: 7.0401
05-Feb-26 14:12:58 - [Epoch=1 | Step=1290/83708 | Samples=412800] loss=1.3104
05-Feb-26 14:12:58 - ---------Epoch 01 | Training samples: 412800 | Average Loss: 7.0141
05-Feb-26 14:13:00 - [Epoch=1 | Step=1300/83708 | Samples=416000] loss=9.3774
05-Feb-26 14:13:00 - ---------Epoch 01 | Training samples: 416000 | Average Loss: 6.9965
05-Feb-26 14:13:02 - [Epoch=1 | Step=1310/83708 | Samples=419200] loss=1.5874
05-Feb-26 14:13:02 - ---------Epoch 01 | Training samples: 419200 | Average Loss: 6.9734
05-Feb-26 14:13:05 - [Epoch=1 | Step=1320/83708 | Samples=422400] loss=10.2423
05-Feb-26 14:13:06 - ---------Epoch 01 | Training samples: 422400 | Average Loss: 6.9567
05-Feb-26 14:13:08 - [Epoch=1 | Step=1330/83708 | Samples=425600] loss=2.8836
05-Feb-26 14:13:08 - ---------Epoch 01 | Training samples: 425600 | Average Loss: 6.9356
05-Feb-26 14:13:10 - [Epoch=1 | Step=1340/83708 | Samples=428800] loss=7.4262
05-Feb-26 14:13:10 - ---------Epoch 01 | Training samples: 428800 | Average Loss: 6.9203
05-Feb-26 14:13:12 - [Epoch=1 | Step=1350/83708 | Samples=432000] loss=4.5820
