22-Jan-26 14:04:04 - Created path loss file ./logs/loss_log_20260122140404_.npy.npz
22-Jan-26 14:04:05 - Running without torch.compile (more stable for training).
22-Jan-26 14:04:05 - Training model...
22-Jan-26 14:04:14 - Total Steps = 39478
22-Jan-26 14:04:15 - Input Features Shape: torch.Size([64, 4])
22-Jan-26 14:04:15 - Elevation Data Shape: torch.Size([64, 768])
22-Jan-26 14:04:15 - Path Loss Shape: torch.Size([64])
22-Jan-26 14:04:15 - logits.shape torch.Size([64, 1])
22-Jan-26 14:04:46 - [Epoch=1 | Step=100/39478] loss=0.0268
22-Jan-26 14:46:06 - [Epoch=1 | Step=7600/39478] loss=0.4740
22-Jan-26 14:46:39 - [Epoch=1 | Step=7700/39478] loss=0.4942
22-Jan-26 14:47:11 - [Epoch=1 | Step=7800/39478] loss=0.0948
22-Jan-26 14:47:43 - [Epoch=1 | Step=7900/39478] loss=0.0219
22-Jan-26 14:48:15 - [Epoch=1 | Step=8000/39478] loss=0.0002
22-Jan-26 14:48:48 - [Epoch=1 | Step=8100/39478] loss=0.0744
22-Jan-26 14:49:20 - [Epoch=1 | Step=8200/39478] loss=0.0266
22-Jan-26 14:49:52 - [Epoch=1 | Step=8300/39478] loss=0.0020
22-Jan-26 14:50:25 - [Epoch=1 | Step=8400/39478] loss=0.0059
22-Jan-26 14:50:57 - [Epoch=1 | Step=8500/39478] loss=0.7388
22-Jan-26 14:51:29 - [Epoch=1 | Step=8600/39478] loss=0.0886
22-Jan-26 14:52:02 - [Epoch=1 | Step=8700/39478] loss=0.0012
22-Jan-26 14:52:34 - [Epoch=1 | Step=8800/39478] loss=0.0531
22-Jan-26 14:53:06 - [Epoch=1 | Step=8900/39478] loss=0.0104
22-Jan-26 14:53:39 - [Epoch=1 | Step=9000/39478] loss=0.1587
22-Jan-26 14:54:11 - [Epoch=1 | Step=9100/39478] loss=0.0233
22-Jan-26 14:54:44 - [Epoch=1 | Step=9200/39478] loss=0.5068
22-Jan-26 14:55:16 - [Epoch=1 | Step=9300/39478] loss=0.2051
22-Jan-26 14:55:48 - [Epoch=1 | Step=9400/39478] loss=0.4194
22-Jan-26 14:56:21 - [Epoch=1 | Step=9500/39478] loss=0.1429
22-Jan-26 14:56:53 - [Epoch=1 | Step=9600/39478] loss=0.0087
22-Jan-26 14:57:25 - [Epoch=1 | Step=9700/39478] loss=0.2435
22-Jan-26 14:57:58 - [Epoch=1 | Step=9800/39478] loss=0.0492
22-Jan-26 14:58:30 - [Epoch=1 | Step=9900/39478] loss=0.1700
22-Jan-26 14:59:02 - [Epoch=1 | Step=10000/39478] loss=0.0517
22-Jan-26 14:59:34 - [Epoch=1 | Step=10100/39478] loss=0.5157
22-Jan-26 15:00:07 - [Epoch=1 | Step=10200/39478] loss=0.0649
22-Jan-26 15:00:39 - [Epoch=1 | Step=10300/39478] loss=0.0085
22-Jan-26 15:01:12 - [Epoch=1 | Step=10400/39478] loss=0.2436
22-Jan-26 15:01:44 - [Epoch=1 | Step=10500/39478] loss=0.3790
22-Jan-26 15:02:16 - [Epoch=1 | Step=10600/39478] loss=0.0104
22-Jan-26 15:02:48 - [Epoch=1 | Step=10700/39478] loss=0.0090
22-Jan-26 15:03:22 - [Epoch=1 | Step=10800/39478] loss=1.0357
22-Jan-26 15:03:56 - [Epoch=1 | Step=10900/39478] loss=0.0141
22-Jan-26 15:04:31 - [Epoch=1 | Step=11000/39478] loss=0.0359
22-Jan-26 15:05:06 - [Epoch=1 | Step=11100/39478] loss=0.0435
22-Jan-26 15:05:40 - [Epoch=1 | Step=11200/39478] loss=0.0006
22-Jan-26 15:06:15 - [Epoch=1 | Step=11300/39478] loss=0.0533
22-Jan-26 15:06:51 - [Epoch=1 | Step=11400/39478] loss=0.3156
22-Jan-26 15:07:26 - [Epoch=1 | Step=11500/39478] loss=0.0137
22-Jan-26 15:08:01 - [Epoch=1 | Step=11600/39478] loss=0.0066
22-Jan-26 15:08:37 - [Epoch=1 | Step=11700/39478] loss=0.0091
22-Jan-26 15:09:12 - [Epoch=1 | Step=11800/39478] loss=0.0736
22-Jan-26 15:09:47 - [Epoch=1 | Step=11900/39478] loss=0.0598
22-Jan-26 15:10:22 - [Epoch=1 | Step=12000/39478] loss=0.1259
22-Jan-26 15:10:57 - [Epoch=1 | Step=12100/39478] loss=0.0290
22-Jan-26 15:11:33 - [Epoch=1 | Step=12200/39478] loss=0.8980
22-Jan-26 15:12:08 - [Epoch=1 | Step=12300/39478] loss=0.2104
22-Jan-26 15:12:43 - [Epoch=1 | Step=12400/39478] loss=1.4624
22-Jan-26 15:13:18 - [Epoch=1 | Step=12500/39478] loss=0.0175
22-Jan-26 15:13:53 - [Epoch=1 | Step=12600/39478] loss=0.0002
22-Jan-26 15:14:28 - [Epoch=1 | Step=12700/39478] loss=0.0576
22-Jan-26 15:15:03 - [Epoch=1 | Step=12800/39478] loss=0.0103
22-Jan-26 15:15:38 - [Epoch=1 | Step=12900/39478] loss=0.0168
22-Jan-26 15:16:13 - [Epoch=1 | Step=13000/39478] loss=0.2413
22-Jan-26 15:16:48 - [Epoch=1 | Step=13100/39478] loss=0.2336
22-Jan-26 15:17:23 - [Epoch=1 | Step=13200/39478] loss=0.0118
22-Jan-26 15:17:59 - [Epoch=1 | Step=13300/39478] loss=0.5348
22-Jan-26 15:18:34 - [Epoch=1 | Step=13400/39478] loss=0.2840
22-Jan-26 15:19:09 - [Epoch=1 | Step=13500/39478] loss=0.1650
22-Jan-26 15:19:44 - [Epoch=1 | Step=13600/39478] loss=0.1242
22-Jan-26 15:20:19 - [Epoch=1 | Step=13700/39478] loss=0.0015
22-Jan-26 15:20:55 - [Epoch=1 | Step=13800/39478] loss=0.0236
22-Jan-26 15:21:30 - [Epoch=1 | Step=13900/39478] loss=0.0019
22-Jan-26 15:22:05 - [Epoch=1 | Step=14000/39478] loss=0.0923
22-Jan-26 15:22:40 - [Epoch=1 | Step=14100/39478] loss=0.0466
22-Jan-26 15:23:16 - [Epoch=1 | Step=14200/39478] loss=0.0160
22-Jan-26 15:23:52 - [Epoch=1 | Step=14300/39478] loss=0.0695
22-Jan-26 15:24:27 - [Epoch=1 | Step=14400/39478] loss=0.0759
22-Jan-26 15:25:03 - [Epoch=1 | Step=14500/39478] loss=0.0108
22-Jan-26 15:25:39 - [Epoch=1 | Step=14600/39478] loss=0.0818
22-Jan-26 15:26:15 - [Epoch=1 | Step=14700/39478] loss=0.1786
22-Jan-26 15:26:52 - [Epoch=1 | Step=14800/39478] loss=0.6447
22-Jan-26 15:27:28 - [Epoch=1 | Step=14900/39478] loss=0.0102
22-Jan-26 15:28:04 - [Epoch=1 | Step=15000/39478] loss=0.1073
22-Jan-26 15:28:39 - [Epoch=1 | Step=15100/39478] loss=0.0110
22-Jan-26 15:29:14 - [Epoch=1 | Step=15200/39478] loss=0.0586
22-Jan-26 15:29:48 - [Epoch=1 | Step=15300/39478] loss=0.0146
22-Jan-26 15:30:23 - [Epoch=1 | Step=15400/39478] loss=0.0126
22-Jan-26 15:30:58 - [Epoch=1 | Step=15500/39478] loss=0.2368
22-Jan-26 15:31:33 - [Epoch=1 | Step=15600/39478] loss=0.0187
22-Jan-26 15:32:08 - [Epoch=1 | Step=15700/39478] loss=0.2934
22-Jan-26 15:32:44 - [Epoch=1 | Step=15800/39478] loss=0.0885
22-Jan-26 15:33:19 - [Epoch=1 | Step=15900/39478] loss=1.4295
22-Jan-26 15:33:54 - [Epoch=1 | Step=16000/39478] loss=0.0018
22-Jan-26 15:34:28 - [Epoch=1 | Step=16100/39478] loss=0.0022
22-Jan-26 15:35:03 - [Epoch=1 | Step=16200/39478] loss=0.0118
22-Jan-26 15:35:37 - [Epoch=1 | Step=16300/39478] loss=0.0053
22-Jan-26 15:36:12 - [Epoch=1 | Step=16400/39478] loss=0.4555
22-Jan-26 15:36:47 - [Epoch=1 | Step=16500/39478] loss=0.6761
22-Jan-26 15:37:22 - [Epoch=1 | Step=16600/39478] loss=0.0771
22-Jan-26 15:37:56 - [Epoch=1 | Step=16700/39478] loss=0.0648
22-Jan-26 15:38:32 - [Epoch=1 | Step=16800/39478] loss=0.0146
22-Jan-26 15:39:07 - [Epoch=1 | Step=16900/39478] loss=0.0840
22-Jan-26 15:39:43 - [Epoch=1 | Step=17000/39478] loss=0.0094
22-Jan-26 15:40:18 - [Epoch=1 | Step=17100/39478] loss=0.0043
22-Jan-26 15:40:53 - [Epoch=1 | Step=17200/39478] loss=0.0258
22-Jan-26 15:41:28 - [Epoch=1 | Step=17300/39478] loss=0.0063
22-Jan-26 15:42:03 - [Epoch=1 | Step=17400/39478] loss=0.0236
22-Jan-26 15:42:37 - [Epoch=1 | Step=17500/39478] loss=0.8187
22-Jan-26 15:43:12 - [Epoch=1 | Step=17600/39478] loss=0.0280
22-Jan-26 15:43:48 - [Epoch=1 | Step=17700/39478] loss=0.0650
22-Jan-26 15:44:23 - [Epoch=1 | Step=17800/39478] loss=0.0603
22-Jan-26 15:44:58 - [Epoch=1 | Step=17900/39478] loss=0.1425
22-Jan-26 15:45:33 - [Epoch=1 | Step=18000/39478] loss=0.0037
22-Jan-26 15:46:08 - [Epoch=1 | Step=18100/39478] loss=0.0098
22-Jan-26 15:46:43 - [Epoch=1 | Step=18200/39478] loss=0.0051
22-Jan-26 15:47:18 - [Epoch=1 | Step=18300/39478] loss=0.0038
22-Jan-26 15:47:54 - [Epoch=1 | Step=18400/39478] loss=0.3030
22-Jan-26 15:48:30 - [Epoch=1 | Step=18500/39478] loss=0.1803
22-Jan-26 15:49:05 - [Epoch=1 | Step=18600/39478] loss=0.6230
22-Jan-26 15:49:39 - [Epoch=1 | Step=18700/39478] loss=0.0018
22-Jan-26 15:50:15 - [Epoch=1 | Step=18800/39478] loss=0.0025
22-Jan-26 15:50:49 - [Epoch=1 | Step=18900/39478] loss=0.0021
22-Jan-26 15:51:24 - [Epoch=1 | Step=19000/39478] loss=0.0015
22-Jan-26 15:51:59 - [Epoch=1 | Step=19100/39478] loss=0.4097
22-Jan-26 15:52:34 - [Epoch=1 | Step=19200/39478] loss=0.0018
22-Jan-26 15:53:09 - [Epoch=1 | Step=19300/39478] loss=0.0180
22-Jan-26 15:53:44 - [Epoch=1 | Step=19400/39478] loss=0.0118
22-Jan-26 15:54:19 - [Epoch=1 | Step=19500/39478] loss=0.8975
22-Jan-26 15:54:54 - [Epoch=1 | Step=19600/39478] loss=0.0511
22-Jan-26 15:55:30 - [Epoch=1 | Step=19700/39478] loss=0.0218
22-Jan-26 15:56:04 - [Epoch=1 | Step=19800/39478] loss=0.0171
22-Jan-26 15:56:40 - [Epoch=1 | Step=19900/39478] loss=0.6348
22-Jan-26 15:57:15 - [Epoch=1 | Step=20000/39478] loss=0.0024
22-Jan-26 15:57:50 - [Epoch=1 | Step=20100/39478] loss=0.0368
22-Jan-26 15:58:26 - [Epoch=1 | Step=20200/39478] loss=0.0017
22-Jan-26 15:59:03 - [Epoch=1 | Step=20300/39478] loss=0.0234
22-Jan-26 15:59:38 - [Epoch=1 | Step=20400/39478] loss=0.0065
22-Jan-26 16:00:13 - [Epoch=1 | Step=20500/39478] loss=0.0886
22-Jan-26 16:00:47 - [Epoch=1 | Step=20600/39478] loss=0.0019
22-Jan-26 16:01:22 - [Epoch=1 | Step=20700/39478] loss=0.0129
22-Jan-26 16:01:57 - [Epoch=1 | Step=20800/39478] loss=0.0031
22-Jan-26 16:02:31 - [Epoch=1 | Step=20900/39478] loss=0.0053
22-Jan-26 16:03:06 - [Epoch=1 | Step=21000/39478] loss=0.0176
22-Jan-26 16:03:40 - [Epoch=1 | Step=21100/39478] loss=0.0086
22-Jan-26 16:04:15 - [Epoch=1 | Step=21200/39478] loss=0.0806
22-Jan-26 16:04:47 - [Epoch=1 | Step=21300/39478] loss=0.0053
22-Jan-26 16:05:20 - [Epoch=1 | Step=21400/39478] loss=0.0250
22-Jan-26 16:05:53 - [Epoch=1 | Step=21500/39478] loss=0.1151
22-Jan-26 16:06:25 - [Epoch=1 | Step=21600/39478] loss=0.1049
22-Jan-26 16:06:58 - [Epoch=1 | Step=21700/39478] loss=0.2453
22-Jan-26 16:07:33 - [Epoch=1 | Step=21800/39478] loss=0.0361
22-Jan-26 16:08:08 - [Epoch=1 | Step=21900/39478] loss=0.0048
22-Jan-26 16:08:43 - [Epoch=1 | Step=22000/39478] loss=0.0065
22-Jan-26 16:09:20 - [Epoch=1 | Step=22100/39478] loss=0.0031
22-Jan-26 16:09:56 - [Epoch=1 | Step=22200/39478] loss=0.0631
22-Jan-26 16:10:31 - [Epoch=1 | Step=22300/39478] loss=0.0025
22-Jan-26 16:11:06 - [Epoch=1 | Step=22400/39478] loss=0.1183
22-Jan-26 16:11:41 - [Epoch=1 | Step=22500/39478] loss=0.0173
22-Jan-26 16:12:15 - [Epoch=1 | Step=22600/39478] loss=0.0066
22-Jan-26 16:12:50 - [Epoch=1 | Step=22700/39478] loss=0.0077
22-Jan-26 16:13:24 - [Epoch=1 | Step=22800/39478] loss=0.2289
22-Jan-26 16:14:00 - [Epoch=1 | Step=22900/39478] loss=0.0208
22-Jan-26 16:14:36 - [Epoch=1 | Step=23000/39478] loss=0.0447
22-Jan-26 16:15:12 - [Epoch=1 | Step=23100/39478] loss=0.0271
22-Jan-26 16:15:46 - [Epoch=1 | Step=23200/39478] loss=0.0019
22-Jan-26 16:16:21 - [Epoch=1 | Step=23300/39478] loss=0.0202
22-Jan-26 16:16:55 - [Epoch=1 | Step=23400/39478] loss=0.0198
22-Jan-26 16:17:30 - [Epoch=1 | Step=23500/39478] loss=0.0181
22-Jan-26 16:18:05 - [Epoch=1 | Step=23600/39478] loss=0.0013
22-Jan-26 16:18:39 - [Epoch=1 | Step=23700/39478] loss=0.0093
22-Jan-26 16:19:14 - [Epoch=1 | Step=23800/39478] loss=0.0007
22-Jan-26 16:19:49 - [Epoch=1 | Step=23900/39478] loss=0.0031
22-Jan-26 16:20:22 - [Epoch=1 | Step=24000/39478] loss=0.0776
22-Jan-26 16:20:55 - [Epoch=1 | Step=24100/39478] loss=0.2144
22-Jan-26 16:21:27 - [Epoch=1 | Step=24200/39478] loss=0.0023
22-Jan-26 16:21:59 - [Epoch=1 | Step=24300/39478] loss=0.0349
22-Jan-26 16:22:32 - [Epoch=1 | Step=24400/39478] loss=0.0005
22-Jan-26 16:23:04 - [Epoch=1 | Step=24500/39478] loss=0.0094
22-Jan-26 16:23:36 - [Epoch=1 | Step=24600/39478] loss=0.0870
22-Jan-26 16:24:08 - [Epoch=1 | Step=24700/39478] loss=0.1151
22-Jan-26 16:24:41 - [Epoch=1 | Step=24800/39478] loss=0.0062
22-Jan-26 16:25:13 - [Epoch=1 | Step=24900/39478] loss=0.0027
22-Jan-26 16:25:45 - [Epoch=1 | Step=25000/39478] loss=0.2606
22-Jan-26 16:26:17 - [Epoch=1 | Step=25100/39478] loss=0.0275
22-Jan-26 16:26:49 - [Epoch=1 | Step=25200/39478] loss=0.0877
22-Jan-26 16:27:21 - [Epoch=1 | Step=25300/39478] loss=0.0187
22-Jan-26 16:27:53 - [Epoch=1 | Step=25400/39478] loss=0.0062
22-Jan-26 16:28:25 - [Epoch=1 | Step=25500/39478] loss=0.0023
22-Jan-26 16:28:57 - [Epoch=1 | Step=25600/39478] loss=0.0015
22-Jan-26 16:29:29 - [Epoch=1 | Step=25700/39478] loss=0.0655
22-Jan-26 16:30:01 - [Epoch=1 | Step=25800/39478] loss=0.7301
22-Jan-26 16:30:33 - [Epoch=1 | Step=25900/39478] loss=0.0066
22-Jan-26 16:31:06 - [Epoch=1 | Step=26000/39478] loss=0.0110
22-Jan-26 16:31:38 - [Epoch=1 | Step=26100/39478] loss=0.0069
22-Jan-26 16:32:10 - [Epoch=1 | Step=26200/39478] loss=0.0043
22-Jan-26 16:32:42 - [Epoch=1 | Step=26300/39478] loss=0.0150
22-Jan-26 16:33:14 - [Epoch=1 | Step=26400/39478] loss=0.0999
22-Jan-26 16:33:46 - [Epoch=1 | Step=26500/39478] loss=0.0825
22-Jan-26 16:34:18 - [Epoch=1 | Step=26600/39478] loss=0.0083
22-Jan-26 16:34:50 - [Epoch=1 | Step=26700/39478] loss=0.4051
22-Jan-26 16:35:22 - [Epoch=1 | Step=26800/39478] loss=0.0252
22-Jan-26 16:35:54 - [Epoch=1 | Step=26900/39478] loss=0.3088
22-Jan-26 16:36:26 - [Epoch=1 | Step=27000/39478] loss=0.0026
22-Jan-26 16:36:59 - [Epoch=1 | Step=27100/39478] loss=0.0217
22-Jan-26 16:37:31 - [Epoch=1 | Step=27200/39478] loss=0.1524
22-Jan-26 16:38:03 - [Epoch=1 | Step=27300/39478] loss=0.0253
22-Jan-26 16:38:35 - [Epoch=1 | Step=27400/39478] loss=0.0101
22-Jan-26 16:39:08 - [Epoch=1 | Step=27500/39478] loss=0.0007
22-Jan-26 16:39:40 - [Epoch=1 | Step=27600/39478] loss=0.0019
22-Jan-26 16:40:12 - [Epoch=1 | Step=27700/39478] loss=0.0066
22-Jan-26 16:40:44 - [Epoch=1 | Step=27800/39478] loss=0.0163
22-Jan-26 16:41:17 - [Epoch=1 | Step=27900/39478] loss=0.2180
22-Jan-26 16:41:50 - [Epoch=1 | Step=28000/39478] loss=0.0043
22-Jan-26 16:42:23 - [Epoch=1 | Step=28100/39478] loss=0.0023
22-Jan-26 16:42:56 - [Epoch=1 | Step=28200/39478] loss=0.8806
22-Jan-26 16:43:29 - [Epoch=1 | Step=28300/39478] loss=0.0298
22-Jan-26 16:44:01 - [Epoch=1 | Step=28400/39478] loss=0.0391
22-Jan-26 16:44:33 - [Epoch=1 | Step=28500/39478] loss=0.0054
22-Jan-26 16:45:06 - [Epoch=1 | Step=28600/39478] loss=0.0022
22-Jan-26 16:45:39 - [Epoch=1 | Step=28700/39478] loss=0.0031
22-Jan-26 16:46:11 - [Epoch=1 | Step=28800/39478] loss=0.0050
22-Jan-26 16:46:44 - [Epoch=1 | Step=28900/39478] loss=0.0361
22-Jan-26 16:47:17 - [Epoch=1 | Step=29000/39478] loss=0.0044
22-Jan-26 16:47:50 - [Epoch=1 | Step=29100/39478] loss=0.0030
22-Jan-26 16:48:22 - [Epoch=1 | Step=29200/39478] loss=0.0016
22-Jan-26 16:48:55 - [Epoch=1 | Step=29300/39478] loss=0.0298
22-Jan-26 16:49:28 - [Epoch=1 | Step=29400/39478] loss=0.0126
22-Jan-26 16:50:00 - [Epoch=1 | Step=29500/39478] loss=0.0784
22-Jan-26 16:50:33 - [Epoch=1 | Step=29600/39478] loss=0.0081
22-Jan-26 16:51:06 - [Epoch=1 | Step=29700/39478] loss=0.0199
22-Jan-26 16:51:42 - [Epoch=1 | Step=29800/39478] loss=0.9707
22-Jan-26 16:52:17 - [Epoch=1 | Step=29900/39478] loss=0.1497
22-Jan-26 16:52:52 - [Epoch=1 | Step=30000/39478] loss=0.1820
22-Jan-26 16:53:26 - [Epoch=1 | Step=30100/39478] loss=0.0611
22-Jan-26 16:54:01 - [Epoch=1 | Step=30200/39478] loss=0.0583
22-Jan-26 16:54:35 - [Epoch=1 | Step=30300/39478] loss=0.3388
22-Jan-26 16:55:10 - [Epoch=1 | Step=30400/39478] loss=0.0148
22-Jan-26 16:55:44 - [Epoch=1 | Step=30500/39478] loss=0.0035
22-Jan-26 16:56:18 - [Epoch=1 | Step=30600/39478] loss=0.2354
22-Jan-26 16:56:53 - [Epoch=1 | Step=30700/39478] loss=0.0366
22-Jan-26 16:57:27 - [Epoch=1 | Step=30800/39478] loss=0.0162
22-Jan-26 16:58:00 - [Epoch=1 | Step=30900/39478] loss=0.0625
22-Jan-26 16:58:33 - [Epoch=1 | Step=31000/39478] loss=0.0548
22-Jan-26 16:59:05 - [Epoch=1 | Step=31100/39478] loss=0.0320
22-Jan-26 16:59:37 - [Epoch=1 | Step=31200/39478] loss=0.0086
22-Jan-26 17:00:09 - [Epoch=1 | Step=31300/39478] loss=0.2095
22-Jan-26 17:00:42 - [Epoch=1 | Step=31400/39478] loss=0.0119
22-Jan-26 17:01:14 - [Epoch=1 | Step=31500/39478] loss=0.0045
22-Jan-26 17:01:46 - [Epoch=1 | Step=31600/39478] loss=0.0038
22-Jan-26 17:02:19 - [Epoch=1 | Step=31700/39478] loss=0.0028
22-Jan-26 17:02:51 - [Epoch=1 | Step=31800/39478] loss=0.0118
22-Jan-26 17:03:23 - [Epoch=1 | Step=31900/39478] loss=0.0215
22-Jan-26 17:03:56 - [Epoch=1 | Step=32000/39478] loss=0.0091
22-Jan-26 17:04:29 - [Epoch=1 | Step=32100/39478] loss=0.0325
22-Jan-26 17:05:01 - [Epoch=1 | Step=32200/39478] loss=0.0137
22-Jan-26 17:05:33 - [Epoch=1 | Step=32300/39478] loss=0.0008
22-Jan-26 17:06:05 - [Epoch=1 | Step=32400/39478] loss=0.0007
22-Jan-26 17:06:37 - [Epoch=1 | Step=32500/39478] loss=0.0043
22-Jan-26 17:07:10 - [Epoch=1 | Step=32600/39478] loss=0.0359
22-Jan-26 17:07:44 - [Epoch=1 | Step=32700/39478] loss=0.0024
22-Jan-26 17:08:19 - [Epoch=1 | Step=32800/39478] loss=0.0070
